iter	Logloss
0	0.6898150253
1	0.6865719604
2	0.6835002518
3	0.6804577446
4	0.6774407196
5	0.6743647766
6	0.6713541031
7	0.6684266472
8	0.6654158974
9	0.6624602509
10	0.6596261787
11	0.6567466354
12	0.6539049911
13	0.6511644936
14	0.6483729172
15	0.6457034683
16	0.6429740524
17	0.6403299427
18	0.6377352715
19	0.6352402592
20	0.6326588917
21	0.6301250648
22	0.6276812458
23	0.6252222443
24	0.6228280258
25	0.6203597641
26	0.6179733276
27	0.6156826401
28	0.6133613682
29	0.6110139179
30	0.6087462616
31	0.6064371967
32	0.6041548634
33	0.6019513798
34	0.5997674179
35	0.5975520229
36	0.5954239273
37	0.5933024406
38	0.5912427616
39	0.5891664886
40	0.5870931911
41	0.5850573921
42	0.583088398
43	0.5810510063
44	0.5790812874
45	0.5771611691
46	0.5753144741
47	0.5734058475
48	0.5715379238
49	0.5696913719
50	0.5679175758
51	0.5662052822
52	0.5645024872
53	0.5627181625
54	0.5609508801
55	0.5592451191
56	0.557486887
57	0.5558627605
58	0.5542630959
59	0.5525774956
60	0.5509679604
61	0.5494130135
62	0.5478608799
63	0.5463164234
64	0.5447615719
65	0.5432568836
66	0.5417712116
67	0.540344286
68	0.5388114834
69	0.5373561859
70	0.5359366035
71	0.5344946003
72	0.5330820084
73	0.5316141033
74	0.5301981163
75	0.5288734818
76	0.5274598026
77	0.5261137581
78	0.524804821
79	0.5234896946
80	0.5221778774
81	0.5208882999
82	0.5196541786
83	0.5184306049
84	0.5171792126
85	0.5160225487
86	0.5147920036
87	0.5135961723
88	0.5124438858
89	0.5112433624
90	0.5100279331
91	0.50888484
92	0.507784729
93	0.506675024
94	0.5055466557
95	0.5044716263
96	0.5033694553
97	0.5023171425
98	0.5013037491
99	0.5002905273
100	0.4992244434
101	0.4982260227
102	0.4971759415
103	0.4962134838
104	0.4952205658
105	0.4943086243
106	0.4933528233
107	0.492416544
108	0.4914774513
109	0.4905640316
110	0.4896565056
111	0.4888040352
112	0.4879333591
113	0.4870289898
114	0.4861699677
115	0.4853157043
116	0.484457283
117	0.483622427
118	0.4828170013
119	0.4819984627
120	0.4811103344
121	0.4803083134
122	0.4794548321
123	0.4785812378
124	0.4777550411
125	0.4769440937
126	0.4761615467
127	0.4753680611
128	0.4746250725
129	0.4738698959
130	0.4731127262
131	0.4723944759
132	0.4716997147
133	0.4710028648
134	0.4703283691
135	0.4696128082
136	0.4689156532
137	0.4682231236
138	0.4675515938
139	0.466902256
140	0.466289196
141	0.4656602097
142	0.4649907398
143	0.4643921947
144	0.4637486839
145	0.4631213951
146	0.4625211334
147	0.4618828297
148	0.4612947941
149	0.4607247734
150	0.4601094246
151	0.4595505047
152	0.4590046024
153	0.4584254646
154	0.4577951527
155	0.4572366619
156	0.4566458893
157	0.4560933208
158	0.4555360794
159	0.4549680996
160	0.4544614601
161	0.4539599037
162	0.4534482956
163	0.4529391575
164	0.4524538326
165	0.4519378376
166	0.4514471531
167	0.4509520435
168	0.4504756641
169	0.4500139999
170	0.4495314217
171	0.4490744114
172	0.4485712242
173	0.4481284142
174	0.4476460648
175	0.4472089672
176	0.446764307
177	0.4463384438
178	0.4458777618
179	0.4454389381
180	0.4449713516
181	0.444567585
182	0.4441701031
183	0.4437807941
184	0.4433898449
185	0.4429766941
186	0.4425592995
187	0.4421758842
188	0.4417684269
189	0.4413505459
190	0.4409736347
191	0.4406010532
192	0.4402052689
193	0.439816618
194	0.4394414806
195	0.4390751171
196	0.438705759
197	0.4383373737
198	0.4379612637
199	0.4376009274
200	0.4372427464
201	0.4368969631
202	0.4365513039
203	0.4362299919
204	0.4358912086
205	0.4355634022
206	0.4352545929
207	0.434936657
208	0.4346395111
209	0.4343371487
210	0.4340027237
211	0.4336963654
212	0.4334138775
213	0.4331021309
214	0.4328265667
215	0.4325579166
216	0.4322635746
217	0.4319749165
218	0.431677084
219	0.4313817692
220	0.431105032
221	0.4308262634
222	0.4305264568
223	0.4302444649
224	0.4299665165
225	0.4296914101
226	0.4294249153
227	0.4291886616
228	0.4289488411
229	0.4287107086
230	0.4284804058
231	0.4282215118
232	0.4279782009
233	0.4277323818
234	0.4274846363
235	0.4272445202
236	0.4270040894
237	0.4267698956
238	0.4265544415
239	0.4263509464
240	0.4261261559
241	0.4259080601
242	0.4257012939
243	0.4254747581
244	0.4252380848
245	0.4250000763
246	0.4247741699
247	0.4245709801
248	0.424384222
249	0.4241722679
250	0.4239633846
251	0.4237582874
252	0.4235542297
253	0.423337326
254	0.4231340027
255	0.4229485607
256	0.4227700329
257	0.4226035786
258	0.4223945999
259	0.4222258663
260	0.4220310688
261	0.4218499947
262	0.4216801929
263	0.4215072632
264	0.4213369083
265	0.4211703205
266	0.4209962177
267	0.4208175564
268	0.4206548214
269	0.4205052662
270	0.4203469944
271	0.4201756191
272	0.4199932194
273	0.41984622
274	0.4196950054
275	0.4195288086
276	0.419376049
277	0.4192276001
278	0.4190932369
279	0.418957777
280	0.4187810421
281	0.4186033249
282	0.4184643555
283	0.4183211708
284	0.418164835
285	0.4180302238
286	0.4179056168
287	0.417762146
288	0.4175959396
289	0.4174514961
290	0.417305851
291	0.4171681595
292	0.4170317745
293	0.4169037724
294	0.4167722988
295	0.4166568089
296	0.4165144444
297	0.416397953
298	0.4162804127
299	0.4161536789
300	0.4160447979
301	0.4159304619
302	0.4158172131
303	0.4157159805
304	0.4156029892
305	0.4154825497
306	0.4153632641
307	0.4152448654
308	0.415134716
309	0.4150366688
310	0.4149335861
311	0.4147937965
312	0.4146629429
313	0.4145398331
314	0.414411478
315	0.4142882252
316	0.4141970158
317	0.4140857506
318	0.4139802742
319	0.4138525963
320	0.4137454605
321	0.4136427402
322	0.413556385
323	0.4134733963
324	0.4133828545
325	0.4132894897
326	0.4132051182
327	0.4131137562
328	0.413005476
329	0.4129079533
330	0.4128036308
331	0.4126920223
332	0.4126116085
333	0.4125186729
334	0.4124386406
335	0.4123283291
336	0.4122493744
337	0.4121625805
338	0.4120957088
339	0.4120135784
340	0.4119265938
341	0.4118589973
342	0.4117692661
343	0.4116801643
344	0.4116161823
345	0.4115414047
346	0.4114662838
347	0.4113741875
348	0.4113021564
349	0.4112282372
350	0.4111607838
351	0.4110827923
352	0.411006918
353	0.410930109
354	0.4108420277
355	0.4107644272
