iter	Passed	Remaining
0	53	26775
1	59	14776
2	65	10774
3	70	8769
4	76	7583
5	83	6856
6	88	6224
7	94	5829
8	101	5534
9	107	5256
10	113	5061
11	120	4886
12	125	4694
13	129	4512
14	136	4405
15	141	4294
16	148	4222
17	154	4138
18	163	4133
19	168	4043
20	175	3992
21	180	3931
22	186	3873
23	192	3818
24	197	3747
25	203	3711
26	209	3668
27	214	3609
28	219	3566
29	225	3530
30	231	3509
31	238	3494
32	245	3472
33	253	3467
34	261	3480
35	269	3469
36	275	3452
37	281	3420
38	288	3409
39	295	3397
40	301	3373
41	308	3359
42	313	3336
43	320	3323
44	326	3302
45	332	3285
46	337	3256
47	346	3263
48	352	3245
49	359	3238
50	368	3241
51	372	3210
52	377	3180
53	382	3161
54	388	3146
55	398	3158
56	404	3143
57	409	3116
58	416	3115
59	423	3103
60	429	3089
61	434	3067
62	438	3043
63	444	3028
64	450	3013
65	457	3005
66	463	2994
67	467	2969
68	473	2959
69	479	2944
70	486	2936
71	492	2925
72	499	2922
73	505	2911
74	512	2905
75	517	2886
76	523	2877
77	529	2867
78	536	2856
79	542	2849
80	548	2838
81	555	2830
82	561	2820
83	567	2811
84	574	2802
85	578	2784
86	585	2778
87	591	2768
88	596	2756
89	603	2747
90	609	2738
91	615	2727
92	620	2716
93	628	2713
94	635	2708
95	641	2700
96	647	2691
97	654	2683
98	658	2666
99	662	2651
100	669	2644
101	676	2638
102	683	2634
103	688	2620
104	694	2612
105	698	2596
106	705	2589
107	711	2581
108	717	2572
109	722	2561
110	727	2547
111	730	2532
112	735	2520
113	742	2514
114	747	2502
115	753	2495
116	760	2490
117	766	2481
118	773	2475
119	779	2467
120	785	2460
121	791	2453
122	798	2446
123	804	2438
124	810	2430
125	815	2421
126	821	2413
127	828	2406
128	833	2398
129	839	2389
130	845	2381
131	851	2374
132	856	2363
133	862	2355
134	872	2357
135	879	2355
136	887	2352
137	894	2345
138	901	2340
139	911	2342
140	917	2336
141	924	2330
142	932	2328
143	938	2319
144	945	2313
145	951	2307
146	959	2303
147	967	2301
148	975	2297
149	980	2287
150	986	2280
151	991	2270
152	1001	2272
153	1009	2268
154	1017	2264
155	1025	2261
156	1035	2261
157	1046	2265
158	1060	2273
159	1071	2277
160	1079	2272
161	1084	2263
162	1091	2255
163	1097	2247
164	1103	2239
165	1109	2231
166	1115	2224
167	1123	2219
168	1129	2212
169	1134	2202
170	1140	2193
171	1146	2187
172	1152	2179
173	1158	2170
174	1165	2163
175	1171	2156
176	1177	2148
177	1183	2140
178	1189	2132
179	1195	2125
180	1201	2117
181	1206	2108
182	1213	2101
183	1218	2092
184	1223	2083
185	1230	2076
186	1236	2069
187	1242	2061
188	1248	2054
189	1254	2046
190	1260	2038
191	1265	2030
192	1272	2024
193	1278	2017
194	1285	2010
195	1291	2003
196	1298	1996
197	1304	1989
198	1310	1982
199	1316	1975
200	1322	1967
201	1328	1960
202	1335	1953
203	1341	1946
204	1347	1938
205	1354	1932
206	1360	1925
207	1367	1919
208	1373	1911
209	1379	1904
210	1384	1896
211	1390	1888
212	1394	1878
213	1400	1871
214	1405	1862
215	1409	1853
216	1416	1846
217	1421	1839
218	1428	1832
219	1434	1825
220	1439	1817
221	1446	1811
222	1453	1805
223	1459	1798
224	1465	1791
225	1471	1784
226	1477	1777
227	1482	1768
228	1487	1760
229	1492	1752
230	1497	1743
231	1503	1736
232	1508	1729
233	1516	1724
234	1522	1716
235	1528	1709
236	1534	1702
237	1539	1694
238	1545	1687
239	1550	1679
240	1557	1673
241	1564	1667
242	1569	1659
243	1574	1652
244	1580	1645
245	1587	1638
246	1593	1632
247	1600	1626
248	1605	1618
249	1611	1611
250	1619	1606
251	1624	1599
252	1630	1591
253	1636	1584
254	1642	1578
255	1649	1571
256	1654	1564
257	1658	1555
258	1665	1549
259	1670	1541
260	1676	1534
261	1683	1528
262	1687	1520
263	1692	1512
264	1698	1506
265	1704	1499
266	1709	1492
267	1715	1484
268	1721	1478
269	1725	1470
270	1732	1463
271	1738	1457
272	1745	1450
273	1749	1443
274	1755	1436
275	1761	1429
276	1767	1422
277	1771	1414
278	1775	1406
279	1780	1398
280	1786	1392
281	1792	1385
282	1798	1379
283	1806	1373
284	1814	1368
285	1821	1362
286	1825	1355
287	1831	1348
288	1837	1341
289	1843	1334
290	1849	1328
291	1855	1321
292	1861	1315
293	1868	1308
294	1873	1302
295	1878	1294
296	1884	1288
297	1890	1281
298	1896	1275
299	1903	1268
300	1909	1262
301	1915	1256
302	1923	1250
303	1930	1244
304	1935	1237
305	1941	1230
306	1947	1224
307	1954	1218
308	1959	1211
309	1964	1203
310	1970	1197
311	1978	1192
312	1984	1185
313	1990	1179
314	1996	1172
315	2002	1166
316	2006	1158
317	2012	1152
318	2018	1145
319	2024	1138
320	2030	1132
321	2037	1126
322	2043	1119
323	2047	1112
324	2053	1105
325	2058	1098
326	2063	1091
327	2068	1084
328	2074	1078
329	2081	1072
330	2088	1066
331	2094	1059
332	2099	1052
333	2104	1046
334	2110	1039
335	2116	1033
336	2122	1026
337	2128	1020
338	2132	1012
339	2137	1005
340	2143	999
341	2147	992
342	2153	985
343	2159	979
344	2163	971
345	2171	966
346	2178	960
347	2184	954
348	2189	947
349	2196	941
350	2202	934
351	2208	928
352	2214	922
353	2220	915
354	2225	909
355	2231	902
356	2237	896
357	2243	890
358	2248	882
359	2254	876
360	2260	870
361	2265	863
362	2273	857
363	2279	851
364	2285	845
365	2290	838
366	2296	832
367	2302	825
368	2308	819
369	2315	813
370	2321	807
371	2328	801
372	2333	794
373	2339	788
374	2345	781
375	2351	775
376	2356	768
377	2363	762
378	2367	755
379	2374	749
380	2381	743
381	2386	737
382	2392	730
383	2397	724
